moviename,cast,certificates
The Machinist,,
The Machinist,Christian Bale,Argentina:16
The Machinist,Jennifer Jason Leigh,Brazil:16
The Machinist,Aitana Sánchez-Gijón,Canada:18A (video rating) 
The Machinist,John Sharian,France:12
The Machinist,Michael Ironside,Hungary:18
The Machinist,Lawrence Gilliard Jr.,Ireland:16
The Machinist,Reg E. Cathey,Malaysia:18PL
The Machinist,Anna Massey,Netherlands:16
The Machinist,Matthew Romero Moore,Norway:15
The Machinist,Robert Long,Portugal:M/16
The Machinist,Colin Stinton,South Korea:15
The Machinist,Craig Stevenson,Sweden:15
The Machinist,Ferran Lahoz,United States:R
American Gangster,,
American Gangster,Denzel Washington,Argentina:16
American Gangster,Russell Crowe,Austria:16
American Gangster,Chiwetel Ejiofor,Canada:18A (Alberta/British Columbia/Manitoba/Ontario) 
American Gangster,Josh Brolin,Denmark:15
American Gangster,Lymari Nadal,France:Tous publics (with warning) 
American Gangster,Ted Levine,Hong Kong:IIB
American Gangster,Roger Guenveur Smith,Ireland:16
American Gangster,John Hawkes,Italy:VM14
American Gangster,RZA,Malaysia:18PL
American Gangster,Yul Vazquez,Netherlands:16
American Gangster,Malcolm Goodwin,New Zealand:R16
American Gangster,Ruby Dee,Peru:14
American Gangster,Ruben Santiago-Hudson,Portugal:M/16
American Gangster,Carla Gugino,Singapore:M18
American Gangster,Skyler Fortgang,Spain:18
American Gangster,John Ortiz,Switzerland:14 (canton of Geneva) 
American Gangster,Cuba Gooding Jr.,Taiwan:R-18 (original rating) 
American Gangster,Armand Assante,United States:R (certificate #43495) 
The Hudsucker Proxy,,
The Hudsucker Proxy,Tim Robbins,Argentina:Atp
The Hudsucker Proxy,Jennifer Jason Leigh,Brazil:12
The Hudsucker Proxy,Paul Newman,France:Tous publics
The Hudsucker Proxy,Charles Durning,Iceland:L
The Hudsucker Proxy,John Mahoney,Portugal:M/12
The Hudsucker Proxy,Jim True-Frost,South Korea:15
The Hudsucker Proxy,Bill Cobbs,Sweden:11
The Hudsucker Proxy,Bruce Campbell,United States:PG (No. 32848) 
The Man from Earth,,
The Man from Earth,David Lee Smith,Australia:PG
The Man from Earth,Tony Todd,Germany:0
The Man from Earth,John Billingsley,Portugal:M/12
The Man from Earth,Ellen Crawford,South Korea:12 (2017) 
The Man from Earth,Annika Peterson,United Kingdom:PG
Cidade de Deus,,
Cidade de Deus,Alexandre Rodrigues,Argentina:16
Cidade de Deus,Leandro Firmino,Austria:14
Cidade de Deus,Phellipe Haagensen,Brazil:16 (re-rating) 
Cidade de Deus,Douglas Silva,Canada:18 (Nova Scotia) 
Cidade de Deus,Jonathan Haagensen,Canada:13+ (Quebec) 
Cidade de Deus,Matheus Nachtergaele,Finland:K-18
Cidade de Deus,Seu Jorge,Germany:16 (bw) 
Cidade de Deus,Jefechander Suplino,Hungary:18
Cidade de Deus,Alice Braga,Ireland:18
Cidade de Deus,Emerson Gomes,Italy:VM14
Cidade de Deus,Edson Oliveira,Netherlands:16
Cidade de Deus,Michel Gomes,Norway:15
Cidade de Deus,Roberta Rodrigues,Philippines:R-18
Cidade de Deus,Luis Otávio,Russia:16+
Cidade de Deus,Kiko Marques,Singapore:R21 (re-rating) 
Cidade de Deus,Gustavo Engrácia,South Korea:18
Cidade de Deus,Darlan Cunha,Sweden:15
Cidade de Deus,Robson Rocha,Switzerland:16 (canton of Vaud) 
Cidade de Deus,Thiago Martins,United Kingdom:18
The Girl Next Door,,
The Girl Next Door,William Atherton,Australia:R18+
The Girl Next Door,Blythe Auffarth,Indonesia:21+
The Girl Next Door,Blanche Baker,Japan:R18+
The Girl Next Door,Kevin Chamberlin,Mexico:B-15
The Girl Next Door,Dean Faulkenberry,Singapore:R21
The Girl Next Door,Gabrielle Howarth,United Kingdom:18
The Flock,,
The Flock,Richard Gere,Argentina:16
The Flock,Claire Danes,Finland:K-15
The Flock,KaDee Strickland,Hong Kong:IIB
The Flock,Ray Wise,Italy:VM18
The Flock,Russell Sams,Mexico:C
The Flock,Avril Lavigne,New Zealand:R18
The Flock,Kristina Romero,Peru:18
The Flock,Dwayne Barnes,Portugal:M/18
The Flock,Matt Schulze,South Korea:18
The Flock,Debrianna Mansini,Taiwan:R-12
The Flock,Ed Ackerman,United States:R (certificate #42966) 
Notes on a Scandal,,
Notes on a Scandal,Judi Dench,Argentina:16
Notes on a Scandal,Cate Blanchett,Brazil:14
Notes on a Scandal,Tom Georgeson,Canada:13+ (Quebec) 
Notes on a Scandal,Michael Maloney,Germany:12
Notes on a Scandal,Joanna Scanlan,Ireland:18 (DVD rating) 
Notes on a Scandal,Shaun Parkes,Japan:R-15
Notes on a Scandal,Emma Kennedy,Netherlands:12
Notes on a Scandal,Syreeta Kumar,Norway:15
Notes on a Scandal,Andrew Simpson,Portugal:M/16 (Qualidade) 
Notes on a Scandal,Phil Davis,Singapore:M18
Notes on a Scandal,Wendy Nottingham,South Korea:18
Notes on a Scandal,Tameka Empson,Sweden:11
Notes on a Scandal,Leon Skinner,Switzerland:14 (canton of Vaud) 
Notes on a Scandal,Bill Nighy,United States:R (certificate #42795) 
An American Crime,,
An American Crime,Ellen Page,Argentina:16
An American Crime,Hayley McFarland,Finland:K-15
An American Crime,Nick Searcy,Japan:PG12
An American Crime,Romy Rosemont,Netherlands:16
An American Crime,Catherine Keener,Peru:18
An American Crime,Ari Graynor,Spain:18
An American Crime,Scout Taylor-Compton,United Kingdom:15
There Will Be Blood,,
There Will Be Blood,Daniel Day-Lewis,Argentina:13
There Will Be Blood,Martin Stringer,Austria:16
There Will Be Blood,Matthew Braden Stringer,Canada:PG (Alberta/British Columbia/Ontario) 
There Will Be Blood,Jacob Stringer,Canada:13+ (Québec) 
There Will Be Blood,Joseph Mussey,Denmark:15
There Will Be Blood,Barry Del Sherman,France:Tous publics (with warning) 
There Will Be Blood,Harrison Taylor,Greece:K-13
There Will Be Blood,Stockton Taylor,Hungary:16
There Will Be Blood,Paul F. Tompkins,Italy:T
There Will Be Blood,Dillon Freasier,Netherlands:16
There Will Be Blood,Kevin Breznahan,Norway:15
There Will Be Blood,Jim Meskimen,Portugal:M/12 (Qualidade) 
There Will Be Blood,Erica Sullivan,Singapore:PG
There Will Be Blood,Randall Carver,South Korea:15
There Will Be Blood,Coco Leigh,Sweden:15
There Will Be Blood,Paul Dano,Switzerland:14 (canton of Vaud) 
There Will Be Blood,Ciarán Hinds,United Kingdom:12A (original rating) 
There Will Be Blood,Sydney McCallister,United States:R (certificate #43414) 
The Other Boleyn Girl,,
The Other Boleyn Girl,Natalie Portman,Argentina:16
The Other Boleyn Girl,Scarlett Johansson,Brazil:14
The Other Boleyn Girl,Eric Bana,Canada:G (Québec) 
The Other Boleyn Girl,Jim Sturgess,France:Tous publics
The Other Boleyn Girl,Mark Rylance,Hong Kong:IIA
The Other Boleyn Girl,Kristin Scott Thomas,Malaysia:U
The Other Boleyn Girl,David Morrissey,Netherlands:12
The Other Boleyn Girl,Benedict Cumberbatch,Norway:11
The Other Boleyn Girl,Oliver Coleman,Philippines:PG-13 (MTRCB) 
The Other Boleyn Girl,Ana Torrent,Singapore:NC-16
The Other Boleyn Girl,Eddie Redmayne,South Korea:15
The Other Boleyn Girl,Tom Cox,Switzerland:12 (canton of Geneva) 
The Other Boleyn Girl,Michael Smiley,Taiwan:PG-12
The Other Boleyn Girl,Montserrat Roig de Puig,United States:PG-13 (certificate #43291) 
Cloverfield,,
Cloverfield,Lizzy Caplan,Argentina:16
Cloverfield,Jessica Lucas,Austria:14
Cloverfield,T.J. Miller,Canada:14A (Alberta/British Columbia/Manitoba) 
Cloverfield,Michael Stahl-David,Canada:13+ (Québec) 
Cloverfield,Mike Vogel,Czech Republic:15
Cloverfield,Odette Annable,Finland:K-13
Cloverfield,Anjul Nigam,Germany:12
Cloverfield,Margot Farley,Hong Kong:IIA
Cloverfield,Theo Rossi,Ireland:15A
Cloverfield,Brian Klugman,Malaysia:U
Cloverfield,Kelvin Yu,New Zealand:M
Cloverfield,Liza Lapira,Peru:14
Cloverfield,Lili Mirojnick,Poland:16
Cloverfield,Ben Feldman,Russia:16+
Cloverfield,Elena Caruso,Singapore:PG13 (re-rating) 
Cloverfield,Vakisha Coleman,South Korea:15
Cloverfield,Will Greenberg,Sweden:15
Cloverfield,Rob Kerkovich,Switzerland:14 (canton of Vaud) 
Cloverfield,Ryan Key,United Kingdom:15
Lucky Number Slevin,,
Lucky Number Slevin,Josh Hartnett,Argentina:16
Lucky Number Slevin,Bruce Willis,Brazil:16
Lucky Number Slevin,Lucy Liu,Chile:14
Lucky Number Slevin,Morgan Freeman,Finland:K-15
Lucky Number Slevin,Ben Kingsley,Germany:16
Lucky Number Slevin,Michael Rubenfeld,Iceland:16
Lucky Number Slevin,Peter Outerbridge,Ireland:16 (theatrical rating) 
Lucky Number Slevin,Stanley Tucci,Malaysia:18PL
Lucky Number Slevin,Kevin Chamberlin,Netherlands:16 (DVD rating) 
Lucky Number Slevin,Dorian Missick,Norway:15
Lucky Number Slevin,Mykelti Williamson,Portugal:M/16
Lucky Number Slevin,Scott Gibson,Singapore:R21 (cut) 
Lucky Number Slevin,Daniel Kash,Spain:18
Lucky Number Slevin,Dmitry Chepovetsky,United Kingdom:18
Lucky Number Slevin,Sam Jaeger,"United States:TV-14 (DLSV, TV Rating.) "
Ondskan,,
Ondskan,Andreas Wilson,Argentina:16
Ondskan,Henrik Lundström,Australia:M (DVD rating) 
Ondskan,Gustaf Skarsgård,Finland:K-15
Ondskan,Linda Zilliacus,Iceland:12
Ondskan,Jesper Salén,Norway:15
Ondskan,Filip Berg,Portugal:M/16
Ondskan,Fredrik af Trampe,South Korea:15 (2014) 
Ondskan,Richard Danielsson,United Kingdom:15
The Forbidden Kingdom,,
The Forbidden Kingdom,Jet Li,Argentina:13
The Forbidden Kingdom,Michael Angarano,Brazil:12
The Forbidden Kingdom,Jackie Chan,Finland:K-13
The Forbidden Kingdom,Juana Collignon,Hong Kong:IIA
The Forbidden Kingdom,Morgan Benoit,Ireland:12A
The Forbidden Kingdom,Jack Posobiec,Netherlands:12
The Forbidden Kingdom,Thomas McDonell,Norway:15
The Forbidden Kingdom,Zhi Ma Gui,Portugal:M/12
The Forbidden Kingdom,Shen Shou He,South Korea:12
The Forbidden Kingdom,Bin Jiang,Switzerland:10 (canton of Geneva) 
The Forbidden Kingdom,Shaohua Yang,United Kingdom:12A
How to Rob a Bank (and 10 Tips to Actually Get Away with It),,
How to Rob a Bank (and 10 Tips to Actually Get Away with It),Nick Stahl,Australia:M
How to Rob a Bank (and 10 Tips to Actually Get Away with It),Erika Christensen,Singapore:M18
Night at the Museum,,
Night at the Museum,Ben Stiller,Argentina:Atp
Night at the Museum,Carla Gugino,Austria:6
Night at the Museum,Dick Van Dyke,Canada:PG (Alberta/British Columbia) 
Night at the Museum,Mickey Rooney,Finland:K-11
Night at the Museum,Bill Cobbs,Germany:6
Night at the Museum,Jake Cherry,Hong Kong:I
Night at the Museum,Ricky Gervais,Malaysia:U
Night at the Museum,Robin Williams,New Zealand:PG
Night at the Museum,Kim Raver,Peru:Apt
Night at the Museum,Patrick Gallagher,Portugal:M/6
Night at the Museum,Rami Malek,Singapore:PG
Night at the Museum,Pierfrancesco Favino,South Korea:All
Night at the Museum,Charlie Murphy,Sweden:7
Night at the Museum,Steve Coogan,Switzerland:7 (canton of Vaud) 
Night at the Museum,Mizuo Peck,United States:PG (certificate #42837) 
I Am Legend,,
I Am Legend,Will Smith,Argentina:16
I Am Legend,Alice Braga,Australia:MA15+ (DVD) 
I Am Legend,Charlie Tahan,Brazil:14
I Am Legend,Salli Richardson-Whitfield,Canada:13+ (Quebec) 
I Am Legend,Willow Smith,Czech Republic:12
I Am Legend,Darrell Foster,Finland:K-16
I Am Legend,April Grace,Germany:16
I Am Legend,Dash Mihok,Hong Kong:IIB
I Am Legend,Joanna Numata,Iceland:14
I Am Legend,Abbey,Ireland:15A
I Am Legend,Kona,Japan:G
I Am Legend,Samuel Glen,Netherlands:12
I Am Legend,James McCauley,Norway:15
I Am Legend,Marin Ireland,Philippines:PG-13
I Am Legend,Pedro Mojica,Russia:12+
I Am Legend,Anthony C. Mazza,Slovakia:12
I Am Legend,Steve Cirbus,South Korea:12
I Am Legend,Calista Hill,Spain:16 (TV rating) 
I Am Legend,Gabriella Hill,Switzerland:14 (canton of Geneva) 
I Am Legend,Madeline Hill,Taiwan:PG-12
I Am Legend,Adhi Sharma,United States:PG-13 (certificate #43988) 
La haine,,
La haine,Vincent Cassel,Argentina:16
La haine,Hubert Koundé,Brazil:16
La haine,Saïd Taghmaoui,Finland:K-16
La haine,Abdel Ahmed Ghili,Germany:12 (bw) 
La haine,Solo,Iceland:16 (video rating) 
La haine,Joseph Momo,Italy:VM14
La haine,Héloïse Rauth,Netherlands:16
La haine,Rywka Wajsbrot,New Zealand:R18
La haine,Olga Abrego,Portugal:M/18
La haine,Laurent Labasse,Spain:18
La haine,Choukri Gabteni,United Kingdom:15
Stuck on You,,
Stuck on You,Matt Damon,Argentina:13
Stuck on You,Greg Kinnear,Brazil:12
Stuck on You,Eva Mendes,Germany:6
Stuck on You,Wen Yann Shih,Iceland:L
Stuck on You,Pat Crawford Brown,New Zealand:M
Stuck on You,Ray 'Rocket' Valliere,Philippines:PG-13
Stuck on You,Tommy Songin,Russia:12+
Stuck on You,Terence Bernie Hines,Singapore:PG (cut) 
Stuck on You,Cher,Spain:T
Stuck on You,Jackie Flynn,Switzerland:10 (canton of Geneva) 
Stuck on You,Seymour Cassel,United Kingdom:12A
Lawrence of Arabia,,
Lawrence of Arabia,Peter O'Toole,Argentina:Atp
Lawrence of Arabia,Alec Guinness,"Australia:M (2001, re-rating) "
Lawrence of Arabia,Anthony Quinn,Brazil:14
Lawrence of Arabia,Jack Hawkins,Canada:G (Nova Scotia/Quebec) 
Lawrence of Arabia,Omar Sharif,France:Tous publics
Lawrence of Arabia,José Ferrer,Iceland:12
Lawrence of Arabia,Anthony Quayle,Ireland:12 (Blu-ray rating) 
Lawrence of Arabia,Claude Rains,Japan:G (2009) 
Lawrence of Arabia,Arthur Kennedy,Netherlands:12 (DVD rating) 
Lawrence of Arabia,Donald Wolfit,Norway:15 (director's cut) 
Lawrence of Arabia,I.S. Johar,Singapore:PG
Lawrence of Arabia,Gamil Ratib,"South Korea:15 (1989, video rating) "
Lawrence of Arabia,Michel Ray,Sweden:15
Lawrence of Arabia,John Dimech,United Kingdom:12 (Blu-ray rating) 
Lawrence of Arabia,Zia Mohyeddin,United States:Approved
Lawrence of Arabia,Howard Marion-Crawford,"United States:TV-PG (TV rating, LV) "
Lawrence of Arabia,Jack Gwillim,West Germany:12 (f) 
The Bucket List,,
The Bucket List,Jack Nicholson,Argentina:13
The Bucket List,Morgan Freeman,Brazil:12
The Bucket List,Sean Hayes,Canada:G (Québec) 
The Bucket List,Beverly Todd,Germany:0
The Bucket List,Rob Morrow,Iceland:L (DVD rating) 
The Bucket List,Alfonso Freeman,Ireland:12A
The Bucket List,Rowena King,New Zealand:M
The Bucket List,Annton Berry Jr.,Philippines:PG-13
The Bucket List,Verda Bridges,Russia:12+
The Bucket List,Destiny Brownridge,Singapore:PG13 (re-rating) 
The Bucket List,Brian Copeland,Sweden:Btl
The Bucket List,Ian Anthony Dale,Switzerland:10 (canton of Vaud) 
